YEAR	TEAM	GP	AB	R	H	2B	3B	HR	RBI	BB	SO	SB	CS	AVG	OBP	SLG	OPS	WAR
1994	SEA	17	54	4	11	0	0	0	2	3	20	3	0	.204	.241	.204	.445	-0.3
1995	SEA	48	142	15	33	6	2	5	19	6	42	4	2	.232	.264	.408	.672	-0.4
1996	SEA	146	601	141	215	54	1	36	123	59	104	15	4	.358	.414	.631	1.045	9.2
1997	SEA	141	587	100	176	40	3	23	84	41	99	29	6	.300	.350	.496	.846	5.4
1998	SEA	161	686	123	213	35	5	42	124	45	121	46	13	.310	.360	.560	.920	8.3
1999	SEA	129	502	110	143	25	0	42	111	56	109	21	7	.285	.357	.586	.943	4.5
2000	SEA	148	554	134	175	34	2	41	132	100	121	15	4	.316	.420	.606	1.026	10.1
2001	TEX	162	632	133	201	34	1	52	135	75	131	18	3	.318	.399	.622	1.021	8.1
2002	TEX	162	624	125	187	27	2	57	142	87	122	9	4	.300	.392	.623	1.015	8.6
2003	TEX	161	607	124	181	30	6	47	118	87	126	17	3	.298	.396	.600	.996	8.1
2004	NYY	155	601	112	172	24	2	36	106	80	131	28	4	.286	.375	.512	.887	7.3
2005	NYY	162	605	124	194	29	1	48	130	91	139	21	6	.321	.421	.610	1.031	9.1
2006	NYY	154	572	113	166	26	1	35	121	90	139	15	4	.290	.392	.523	.915	4.2
2007	NYY	158	583	143	183	31	0	54	156	95	120	24	4	.314	.422	.645	1.067	9.2
2008	NYY	138	510	104	154	33	0	35	103	65	117	18	3	.302	.392	.573	.965	6.5
2009	NYY	124	444	78	127	17	1	30	100	80	97	14	2	.286	.402	.532	.934	3.9
2010	NYY	137	522	74	141	29	2	30	125	59	98	4	3	.270	.341	.506	.847	3.9
2011	NYY	99	373	67	103	21	0	16	62	47	80	4	1	.276	.362	.461	.823	3.7
2012	NYY	122	463	74	126	17	1	18	57	51	116	13	1	.272	.353	.430	.783	2.0
2013	NYY	29	105	15	30	5	0	4	10	14	26	4	2	.286	.380	.448	.828	0.6
