price buyer acres sqft condition covpkg age units salesdate region
109000 Out 0.6 4576 Average 0 42 8 1990 CentPhoenix
600000 Out 1.228 26536 Average 0 29 34 1993 CentPhoenix
850000 Out 1.65 39069 Average 0 26 54 1990 CentPhoenix
255000 Out 0.76 6769 Fair 10 28 11 1990 CentPhoenix
195000 Out 0.7 9186 Fair 8 37 15 1990 CentPhoenix
350000 Out 1.13 13128 Poor 0 31 21 1990 CentPhoenix
465000 Out 0.72 12000 Average 0 15 24 1993 CentPhoenix
6000000 Out 5.523 171350 Average 182 15 181 1994 CentPhoenix
900000 Out 2.921 41328 Average 0 21 57 1991 CentPhoenix
265000 Out 0.918 11394 Average 12 31 14 1993 CentPhoenix
381769 Out 0.56 12390 Average 0 9 15 1992 CentPhoenix
590000 Out 1.228 29232 Average 0 27 34 1991 CentPhoenix
432000 Out 1.608 39069 Average 0 30 54 1994 CentPhoenix
120000 Out 0.525 8100 Average 0 31 12 1993 CentPhoenix
150000 Out 0.351 9480 Average 0 30 16 1993 CentPhoenix
1400000 Out 2.92 67500 Good 90 9 90 1993 CentPhoenix
2050000 Out 3.54 59152 Average 98 9 98 1995 CentPhoenix
505000 Out 1.43 29824 Average 0 34 36 1993 CentPhoenix
285000 Out 0.519 11818 Average 14 9 14 1995 CentPhoenix
104000 Out 0.559 4323 Average 4 31 6 1991 CentPhoenix
211000 Out 0.463 6680 Average 8 22 8 1991 CentPhoenix
229000 Out 0.673 8042 Average 8 25 10 1993 CentPhoenix
512500 Out 0.424 19500 Average 21 31 21 1991 CentPhoenix
3300000 Out 4.315 104061 Average 152 17 125 1992 CentPhoenix
250000 Out 0.594 16700 Good 0 5 18 1992 CentPhoenix
2275000 Out 7.006 143808 Good 0 8 224 1992 CentPhoenix
660000 Out 1.002 33180 Average 47 14 47 1993 CentPhoenix
3300000 Out 7.006 143808 Average 0 11 224 1995 CentPhoenix
100000 Out 0.418 4800 Fair . 57 7 1992 CentPhoenix
345000 Out 1.077 23720 Fair 32 17 30 1991 CentPhoenix
1475807 Out 6.642 126880 Fair 80 20 156 1992 CentPhoenix
1246000 Out 0.925 33800 Average 42 19 40 1995 CentPhoenix
525000 Out 2.038 27800 Average 27 30 58 1994 CentPhoenix
2700000 Out 4.326 77879 Good 0 16 181 1994 CentPhoenix
540000 Out 1.29 13800 Average 0 13 20 1999 NPhoenix
1075000 Out 2.936 62400 Good 0 9 84 1993 NPhoenix
1025000 Out 2.23 45900 Good 0 4 60 1990 NPhoenix
725000 Out 0.94 28900 Average 0 7 34 1990 NPhoenix
4100000 Out 7.81 121932 Good 151 4 144 1990 NPhoenix
880000 Out 1.88 26240 Good 32 6 32 1990 NPhoenix
2060000 Out 9.58 138980 Average 0 6 138 1990 NPhoenix
192000 Out 0.98 10885 Fair 0 34 16 1990 NPhoenix
1350000 Out 5 48264 Average 0 32 62 1992 NPhoenix
700000 Out 1.115 30624 Good 0 8 40 1993 NPhoenix
1060000 Out 1.477 38812 Good 62 7 62 1992 NPhoenix
339309 Out 0.709 13200 Average 10 7 12 1992 NPhoenix
500000 Out 0.929 21920 Average 0 11 29 1994 NPhoenix
1120000 Out 2.299 45600 Average 0 10 60 1994 NPhoenix
1580000 Out 2.936 62400 Average 0 10 84 1994 NPhoenix
375000 Out 0.929 21920 Average 0 10 29 1993 NPhoenix
3000000 Out 6.82 168680 Average 170 18 166 1991 NPhoenix
260000 Out 0.296 9241 Average 0 9 16 1991 NPhoenix
100000 Out 0.367 3482 Average 1 46 6 1992 NPhoenix
9200000 Out 12 245556 Average 240 9 240 1991 NPhoenix
204000 Out 0.198 6456 Good 8 7 8 1991 NPhoenix
540000 Out 0.982 17205 Good 16 9 15 1994 NPhoenix
7000000 Out 6.67 148124 Good 192 10 192 1994 NPhoenix
12150000 Out 20.247 379608 Good 568 5 568 1992 NPhoenix
6925000 Out 6.219 131820 Good 164 10 164 1994 Scottsdale
1860000 Out 4.71 90144 Average 0 21 80 1996 SWPhoenix
312000 Out 0.525 8880 Average 0 31 12 1992 SWPhoenix
208000 Out 0.465 4968 Average 0 5 8 1991 SWPhoenix
9800000 Out 16.892 222963 Average 265 9 265 1995 SWPhoenix
808000 Out 1.626 27000 Good 40 8 36 1992 Tempe
200000 Out 0.506 4401 Average 6 40 6 1995 Tempe
1135000 Out 1.644 36770 Average 66 29 66 1994 Tempe
432000 Out 0.867 18170 Good 0 27 22 1991 Tempe
3500000 Out 2.44 127908 Good 336 5 173 1991 Tempe
5100000 Out 6.25 134200 Good 150 3 152 1990 Mesa
3500000 Out 5.51 110960 Average 155 16 156 1990 Mesa
142500 Out 0.392 4992 Average 8 22 6 1992 Mesa
190147 Out 0.474 6400 Average 0 29 8 1992 Mesa
205500 Out 0.553 4800 Good 6 9 6 1992 Mesa
174000 Out 0.277 6000 Average 8 7 8 1992 Mesa
289414 Out 0.768 9440 Average 4 20 12 1992 Mesa
1850000 Out 2.454 40480 Good 44 6 44 1992 Mesa
2055000 Out 2.511 59888 Good 95 5 95 1992 Mesa
1975000 Out 3.218 95340 Good 0 19 118 1992 Mesa
5100000 Out 5.468 108279 Average 0 13 155 1996 Mesa
260000 Out 1.25 7533 Good 0 30 12 1995 Mesa
8800000 Out 12.32 181070 Good 230 7 230 1994 Chandler
625000 Out 1.2 27480 Good 0 6 38 1990 NWCities
150000 Out 0.933 5000 Average 0 38 12 1993 NWCities
500000 Out 1.702 37084 Average 0 7 56 1992 NWCities
1850000 Out 6.508 114608 Average 12 31 217 1994 NWCities
2060000 Out 11.697 172342 Average 94 20 329 1993 NWCities
875000 Out 2.483 49200 Good 40 7 70 1992 NWCities
1500000 Out 1.22 27785 Average 34 40 31 1998 Scottsdale
422000 Out 0.55 9846 Average 0 29 24 1990 Scottsdale
425000 Out 0.779 17500 Average 36 33 35 1993 Scottsdale
17000000 Out 13.874 261092 Good 330 9 330 1997 Scottsdale
120000 Out 0.411 1813 Average 8 30 6 1993 Scottsdale
174363 Out 0.369 5336 Average 0 33 8 1992 Scottsdale
4250000 Out 6.711 141088 Average 208 20 152 1991 Scottsdale
160000 Out 0.369 6130 Average 4 35 9 1993 Scottsdale
6700000 Out 6.298 140765 Average 173 18 164 1996 Scottsdale
2500000 Out 2.807 55080 Good 70 4 69 1991 Scottsdale
18000000 Out 15 291492 Good 363 11 330 1997 Scottsdale
2950000 Out 4.23 65760 Average 66 8 64 1993 Scottsdale
11015000 Out 9.053 217819 Average 203 13 203 1996 Scottsdale
5100000 Out 5 81600 Average 96 13 96 1994 Scottsdale
131000 Out 0.62 8318 Poor 0 23 12 1992 SWPhoenix
1225000 AZ 0.6848 23900 Excellent 0 35 52 1999 CentPhoenix
447690 AZ 0.5581 7800 Good 8 14 8 1999 CentPhoenix
290000 AZ 0.3068 4800 Average 0 36 12 2000 CentPhoenix
260000 AZ 0.5382 5134 Average 6 41 6 1999 CentPhoenix
315000 AZ 0.931 5628 Average 0 53 7 2000 CentPhoenix
325000 AZ 0.6043 6109 Average 0 31 8 1999 CentPhoenix
305000 AZ 0.6783 6324 Average 8 39 8 1999 CentPhoenix
320000 AZ 0.5443 7214 Average 0 33 8 2000 CentPhoenix
365000 AZ 1.1258 8182 Average . 46 16 1998 CentPhoenix
425000 AZ 0.6732 9264 Average 0 38 24 1999 CentPhoenix
375000 AZ 0.7759 9750 Average 14 44 15 2000 CentPhoenix
410000 AZ 0.3994 11442 Average 0 40 18 1999 CentPhoenix
445000 AZ 0.3053 12204 Average 24 36 22 2000 CentPhoenix
582500 AZ 0.551 13510 Average 20 38 16 2000 CentPhoenix
620000 AZ 1.3301 13525 Average 12 1 19 1998 CentPhoenix
412500 AZ 1.0011 15155 Average 0 29 19 1999 CentPhoenix
785000 AZ 1.4714 22100 Average 0 37 20 1999 CentPhoenix
941500 AZ 1.0739 23880 Average 30 37 28 1999 CentPhoenix
990000 AZ 2.1512 24000 Average 0 38 32 1999 CentPhoenix
1410000 AZ 1.0796 24200 Average 0 27 50 2000 CentPhoenix
1820955 AZ 2.8007 52798 Average 100 30 69 2000 CentPhoenix
