MST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2012-1-1,37,27,17,21,14,9,93,73,36,30.62,30.54,30.49,15,12,10,6,1,,0.00,0,,215
2012-1-2,44,32,19,21,18,16,93,57,31,30.57,30.47,30.39,15,15,15,7,2,,0.00,2,,250
2012-1-3,48,36,23,25,22,19,93,64,34,30.51,30.44,30.36,15,12,9,12,4,,0.00,1,,288
2012-1-4,42,30,19,27,21,16,100,79,42,30.61,30.52,30.46,15,12,7,5,1,,0.00,1,,21
2012-1-5,44,32,19,25,19,12,100,76,36,30.46,30.29,30.07,15,12,10,17,1,,0.00,1,,358
2012-1-6,41,30,19,27,22,18,100,81,45,30.23,30.14,30.03,15,10,7,8,3,,0.00,1,,104
2012-1-7,35,30,26,30,27,21,93,82,64,30.31,30.13,29.99,15,9,1,17,8,24,0.00,5,Snow,320
2012-1-8,32,26,21,25,21,18,93,81,64,30.46,30.39,30.31,15,13,10,14,6,,0.00,5,,288
2012-1-9,33,25,17,25,19,16,100,85,60,30.50,30.44,30.35,15,11,10,6,3,,0.00,0,,150
2012-1-10,37,26,15,28,22,12,100,85,60,30.30,30.19,30.10,15,8,4,7,2,,0.00,2,,17
2012-1-11,35,26,17,27,18,10,100,73,44,30.38,30.29,30.15,15,10,5,18,7,23,0.00,1,,314
2012-1-12,32,23,14,16,12,9,93,73,41,30.39,30.36,30.30,15,11,10,8,3,,0.00,0,,144
2012-1-13,35,24,12,18,11,7,93,69,35,30.45,30.38,30.36,15,12,10,9,2,,0.00,0,,141
2012-1-14,51,33,15,21,14,9,86,63,26,30.38,30.23,30.06,15,11,10,7,2,,0.00,0,,121
2012-1-15,53,38,24,18,12,3,64,38,14,30.05,29.90,29.71,15,12,10,29,8,34,0.00,2,,135
2012-1-16,44,29,14,21,14,1,80,53,31,30.22,29.90,29.68,15,10,8,32,19,38,0.00,2,Snow,277
2012-1-17,33,20,8,18,9,3,86,69,32,30.31,30.22,30.15,15,12,10,14,5,,0.00,3,,133
2012-1-18,46,35,24,37,22,12,93,66,27,30.17,30.14,30.08,15,11,10,9,2,,0.13,7,Rain,20
2012-1-19,48,40,33,37,32,27,100,82,43,30.13,29.97,29.83,15,11,7,14,3,18,0.13,7,,336
2012-1-20,48,40,33,34,30,28,93,65,46,30.06,29.94,29.87,15,11,10,12,4,,0.00,6,,139
2012-1-21,51,42,32,37,34,27,100,77,41,29.87,29.70,29.45,15,9,1,23,9,34,0.03,7,Rain-Snow,117
2012-1-22,35,30,26,25,23,18,86,72,48,30.15,30.02,29.84,15,12,10,16,7,,0.03,3,,357
2012-1-23,39,32,26,32,26,21,100,80,61,30.03,29.94,29.78,15,8,1,16,7,23,0.01,6,Snow,138
2012-1-24,35,30,24,30,27,19,100,87,70,30.42,30.22,29.97,15,11,5,12,1,,0.05,5,,186
2012-1-25,37,32,26,28,25,21,93,82,60,30.50,30.43,30.36,15,11,10,8,4,,0.00,5,,145
2012-1-26,39,32,26,36,30,25,100,90,70,30.36,30.23,30.06,15,11,7,14,3,,0.00,6,Rain,120
2012-1-27,37,30,23,34,23,18,93,69,52,30.52,30.32,30.12,15,11,10,21,10,21,0.00,2,,314
2012-1-28,33,25,17,25,18,14,93,80,56,30.61,30.54,30.51,15,11,10,8,2,,0.00,1,,128
2012-1-29,35,28,21,27,19,12,100,76,48,30.55,30.41,30.18,15,12,10,12,2,,0.00,2,,131
2012-1-30,41,31,21,27,22,18,100,80,49,30.17,30.09,30.01,15,12,9,14,3,,0.00,2,,6
2012-1-31,39,30,21,27,23,18,100,84,56,30.24,30.14,30.10,15,10,4,6,1,,0.00,1,,214
2012-2-1,44,34,23,34,26,19,100,82,46,30.24,30.16,30.03,15,10,2,12,4,17,0.01,4,Rain,121
