Monkey Treatment Week Score
Spank CONTROL 2 95
Spank CONTROL 4 75
Spank CONTROL 8 80
Spank CONTROL 12 65
Spank CONTROL 16 70
Chim CONTROL 2 85
Chim CONTROL 4 75
Chim CONTROL 8 55
Chim CONTROL 12 75
Chim CONTROL 16 85
Chak CONTROL 2 75
Chak CONTROL 4 95
Chak CONTROL 8 60
Chak CONTROL 12 40
Chak CONTROL 16 45
Alf CONTROL 2 85
Alf CONTROL 4 80
Alf CONTROL 8 70
Alf CONTROL 12 45
Alf CONTROL 16 80
Poet CONTROL 2 65
Poet CONTROL 4 80
Poet CONTROL 8 75
Poet CONTROL 12 65
Poet CONTROL 16 65
Jessie CONTROL 2 70
Jessie CONTROL 4 90
Jessie CONTROL 8 85
Jessie CONTROL 12 75
Jessie CONTROL 16 75
Phil CONTROL 2 75
Phil CONTROL 4 80
Phil CONTROL 8 70
Phil CONTROL 12 70
Phil CONTROL 16 70
Irv TREATED 2 75
Irv TREATED 4 50
Irv TREATED 8 70
Irv TREATED 12 75
Irv TREATED 16 75
Edy TREATED 2 85
Edy TREATED 4 85
Edy TREATED 8 60
Edy TREATED 12 70
Edy TREATED 16 70
Allen TREATED 2 60
Allen TREATED 4 70
Allen TREATED 8 70
Allen TREATED 12 75
Allen TREATED 16 70
Poe TREATED 2 60
Poe TREATED 4 65
Poe TREATED 8 70
Poe TREATED 12 70
Poe TREATED 16 60
Joey TREATED 2 65
Joey TREATED 4 60
Joey TREATED 8 80
Joey TREATED 12 70
Joey TREATED 16 60
Just TREATED 2 55
Just TREATED 4 70
Just TREATED 8 60
Just TREATED 12 65
Just TREATED 16 75
Junior TREATED 2 60
Junior TREATED 4 55
Junior TREATED 8 75
Junior TREATED 12 70
Junior TREATED 16 50
Andy TREATED 2 55
Andy TREATED 4 65
Andy TREATED 8 45
Andy TREATED 12 70
Andy TREATED 16 65
Sport TREATED 2 60
Sport TREATED 4 70
Sport TREATED 8 70
Sport TREATED 12 85
Sport TREATED 16 70
Cornelius TREATED 2 45
Cornelius TREATED 4 60
Cornelius TREATED 8 65
Cornelius TREATED 12 65
Cornelius TREATED 16 70
Duncan TREATED 2 65
Duncan TREATED 4 55
Duncan TREATED 8 55
Duncan TREATED 12 80
Duncan TREATED 16 75
