SummerSecondary WinterSecondary Mobile SteelMill Soil ZincSmelter CopperSmelter LeadSmelter
3.4112 1.3101 2.6115 0.61607 0.76882 0.073376 0.024758 0.060983
10.492 0.38831 2.5392 0.25394 0.96262 1.2655 0.92577 0.12866
14.961 3.7975 0.94078 0.36399 0.44212 0.021883 0.013135 0.042323
4.2455 0.39374 0.55267 0.11417 0.13351 0.32135 0.010327 0.019132
9.2088 3.3065 2.0279 0.50033 0.28218 0.1047 0.037541 0.12309
11.765 3.5452 0.44106 0.2492 0.12786 0.014732 0.022421 0.018161
6.4782 0.75168 1.6166 1.5018 1.2883 0.53738 0.4061 0.63121
3.0759 0.55199 2.9586 0.1874 0.70448 1.981 1.449 0.10692
11.556 0.59733 4.5455 0.56255 0.71385 0.30788 0.010285 0.14374
20.644 1.0678 3.1339 0.56964 0.28916 0.0514 0.013854 0.026188
20.736 0.56703 3.5756 0.58075 0.34388 0.042112 0.017425 0.044098
10.217 1.0901 2.6237 0.46847 0.40681 0.029866 0.00037909 0.05258
5.034 0.75531 0.77978 0.65007 1.134 0.37629 0.0071501 0.26728
7.613 0.46756 1.6312 0.73573 1.2166 0.37128 0.012985 0.29332
1.5025 0.018214 1.4813 0.0034353 0.00075894 0.065469 0.68301 0.24544
4.2782 1.5054 1.4228 1.1594 0.32244 0.31897 0.13319 0.40138
6.1235 0.35881 1.6148 0.29765 0.16439 0.058699 0.024276 0.046269
5.1492 0.40099 5.0692 0.53776 0.14111 0.093539 0.013533 0.16784
13.591 0.6157 1.193 0.2194 0.59943 1.7549 2.5887 0.11289
22.2 1.0079 0.011929 0.032314 0.092521 0.011318 0.010512 0.56774
7.8527 0.337 1.7562 0.4093 0.22508 0.11448 0.0052934 0.053859
14.381 0.30678 0.90505 0.54488 0.80509 0.57694 0.56823 0.37837
27.557 0.0087417 1.7351 1.1897 0.17257 0.044495 0.02247 0.035966
18.219 0.47775 0.63201 0.94134 0.69968 0.38331 0.332 0.84121
8.4988 1.4323 1.1107 0.64665 0.21267 0.13637 0.12618 0.11723
3.83 0.7285 1.1817 2.0215 0.48937 0.37743 0.27456 0.70345
10.476 1.2336 0.0019977 0.34546 0.0048591 1.549 0.89564 4.462
5.1557 0.47368 0.95657 0.66792 0.21383 0.38192 0.022178 0.16616
11.009 0.58398 1.2822 0.33627 0.67745 1.2898 1.2758 0.18031
20.078 1.2609 2.8092 0.75524 0.21973 0.12042 0.66708 0.6113
9.374 1.4172 2.7578 0.3119 0.05829 0.8344 0.83393 0.9951
3.9654 0.50316 1.4843 0.38497 0.11125 0.085223 0.40203 0.068016
3.975 0.76501 5.0509 1.0055 0.27186 0.16518 0.051828 0.14605
1.2316 0.50908 2.8176 0.64424 0.22114 0.62316 0.038675 0.20162
3.976 1.4653 3.4209 0.76025 0.14842 0.11488 0.028446 0.11593
5.8968 2.1548 4.393 1.1206 0.22264 0.32024 0.071293 0.38488
7.759 1.4058 3.7494 1.1281 0.61434 0.93574 0.45967 0.34086
6.8016 0.26942 3.8709 1.0325 0.57905 0.9663 0.2425 0.35531
2.8293 0.00043729 0.027147 0.012527 0.046811 0.33383 4.6149 1.9517
3.6071 1.1287 1.6125 0.4953 0.17375 0.062368 0.19537 0.031307
2.175 0.46246 1.0119 0.28172 0.15718 0.08864 0.26586 0.019469
1.2948 0.54266 1.4064 0.49312 0.1242 0.1298 0.038958 0.025038
2.1025 0.47104 2.1479 0.24622 0.34806 0.19617 0.31438 0.025355
2.7621 1.7438 3.2491 1.0612 0.36357 0.4752 0.54129 0.27219
7.1116 1.8856 3.0071 0.92163 0.37198 0.25837 1.0513 0.48458
10.814 1.6607 2.4223 0.39289 0.37544 0.10302 0.82392 0.043224
5.8133 0.36414 0.95005 0.31476 0.16509 0.37459 0.64485 0.19648
3.0738 0.49869 1.206 0.21464 0.24488 0.033332 0.056087 0.0093896
1.5129 0.099792 1.0668 0.21494 0.22835 0.023073 0.018552 0.0090464
2.2705 2.0711 2.2134 0.49669 0.16789 0.083054 0.012893 0.059111
2.3513 2.8125 2.9971 0.51651 0.16389 0.16688 0.0074664 0.20049
6.3933 0.43075 2.0568 0.19416 0.28177 0.075595 0.14313 0.02594
2.5463 0.70186 2.8682 1.1821 0.19158 0.26482 0.85278 0.056915
1.7173 1.4765 3.8151 1.9126 0.65574 0.29127 0.11755 0.20538
1.0369 1.2877 2.9502 0.95639 0.19329 0.61073 0.098247 1.3167
2.5797 1.5229 6.2124 1.185 0.36151 0.1336 0.047837 0.056778
3.3915 2.9622 3.136 1.8501 0.23377 0.17859 0.06316 0.16463
2.5469 0.79522 0.0009916 1.5501 0.16474 0.44397 0.030781 0.055837
2.1219 1.0704 0.39246 0.18672 0.046588 0.074013 0.1234 0.039573
3.4807 5.9151 2.5913 0.42262 0.11232 0.072857 0.016528 0.048446
5.2344 0.82307 1.3239 0.20803 0.17845 0.07844 0.23984 0.061947
3.0878 2.8667 0.76926 0.32222 0.099391 0.082774 0.036989 0.070609
4.119 5.2452 0.47228 0.46417 0.092629 0.091971 0.013597 0.045357
3.431 1.9474 0.68881 0.18935 0.14116 0.053713 0.0014287 0.010252
2.0427 3.566 0.8176 0.15199 0.10914 0.038376 0.0057036 0.0087396
2.1391 10.057 2.7256 0.49796 0.26598 0.63261 0.096027 0.088532
2.876 4.3671 2.6178 0.28096 0.27391 0.55709 0.096484 0.22175
3.6314 3.7251 1.652 0.30342 0.10349 0.24765 0.12334 0.081954
0.82596 3.5476 6.2723 4.1589 0.34099 0.78534 0.35182 1.9851
2.2186 5.426 2.3374 1.3491 0.5217 0.9022 0.5397 0.65899
1.308 3.5236 1.448 0.19252 0.54514 1.4616 1.1371 0.11181
2.1163 2.4413 3.3289 1.2587 0.15832 0.2476 0.01821 0.06917
5.5734 11.65 0.21421 0.23628 0.087829 0.24475 0.050614 0.050345
2.1727 2.0644 1.9794 0.25244 0.15184 0.073503 0.04294 0.018175
5.2506 2.8237 3.1931 0.50858 0.25598 0.26768 0.1239 0.088142
2.6964 3.7897 0.052433 1.3801 0.057403 0.17698 0.029646 0.04527
1.5849 1.6884 0.24231 1.1036 0.086154 0.1669 0.022983 0.028671
2.5285 4.7471 1.5456 0.63279 0.14968 0.17383 0.045503 0.080028
1.7389 3.9901 0.39527 0.11285 0.054396 0.75468 0.012974 0.25508
3.0519 4.9862 1.63 1.0294 0.15596 0.26917 0.014018 0.070259
4.1935 2.4301 1.7955 0.24175 0.24084 0.080592 0.0057711 0.0074696
1.7943 3.6278 1.0935 0.21769 0.11055 0.096163 0.57063 0.041345
1.0055 1.002 1.2128 0.43031 0.39387 0.11047 0.0078689 0.042966
2.037 2.7467 1.0989 0.43804 0.19474 0.16522 1.0768 0.35375
1.6554 1.2655 1.3709 0.24751 0.12292 0.47711 0.04465 0.37224
2.2616 3.232 1.9599 0.22635 0.17496 0.065746 0.0030007 0.017272
4.4391 3.3665 0.36911 0.19029 0.14568 0.11524 0.21723 0.0041712
1.9138 3.755 1.6029 0.6968 0.25712 0.12081 4.98E-05 0.031181
2.7032 4.4899 0.59163 0.19093 0.25518 0.10567 0.083635 0.017544
1.382 2.2203 0.61017 0.12169 0.26348 0.016855 0.0003855 0.018909
3.9004 1.9753 1.6525 0.19358 0.27827 0.023957 5.29E-05 0.0019085
2.4946 2.9806 1.0859 0.21182 0.19702 0.12942 0.1351 0.056849
3.3222 3.0955 1.269 0.31229 0.46735 0.082605 0.077661 0.059085
6.39 3.2201 0.431 0.61692 0.0019899 0.098651 0.010876 0.025424
9.1228 6.8724 1.5531 0.66515 0.03936 0.59036 0.11396 0.061334
2.6819 0.93788 1.2294 0.098726 0.41141 0.11329 2.2595 0.24336
6.5379 6.8368 0.96392 0.29259 0.076314 0.04255 1.1424 0.30676
2.0559 2.8635 1.4304 0.72039 0.70114 0.11268 0.0068668 0.03448
4.1227 8.9638 2.5598 2.3157 0.32998 0.20339 0.18042 0.039478
7.8681 5.5749 1.8905 0.41354 0.59218 0.12503 0.035214 0.036525
9.2035 0.70032 1.3226 0.19552 0.32714 0.0081051 0.78262 0.0081586
7.9286 6.7216 0.30337 0.62573 0.1658 0.23414 0.056953 0.019862
5.2069 2.5819 0.38247 0.28204 0.086132 0.024054 0.0079619 0.010293
2.5312 2.4545 1.0784 0.29537 0.11455 0.12148 0.0077472 0.039462
1.1338 1.5589 1.7802 1.3634 1.009 0.060233 0.14699 0.056202
7.5903 2.5904 0.53908 0.18651 0.58266 0.046728 0.0010346 0.01369
8.0219 4.63 1.191 0.46861 0.19289 0.063216 0.0012105 0.019437
3.0442 0.62056 1.5187 0.4757 0.6525 0.17198 0.1846 0.038603
8.6586 0.7922 1.0546 0.22249 0.56235 0.0093893 0.0015949 0.0025298
2.712 0.043017 1.7104 0.78901 0.15809 0.6798 0.032645 0.052728
3.6059 1.7735 1.6166 0.89333 0.37653 0.1049 0.083384 0.060592
3.1261 2.0727 2.0149 0.74788 0.14901 0.11347 0.029007 0.039772
11.203 0.92774 2.6378 0.34542 0.33197 0.85776 0.072896 0.14518
9.8937 0.44879 3.5766 0.46952 0.41797 0.59167 0.13359 0.068754
9.0216 2.7548 0.76832 0.91981 0.14932 0.33195 0.010132 0.018203
15.491 0.85915 2.4055 0.43124 0.22974 0.0252 0.016796 0.0045179
4.8216 0.9793 0.75973 0.13288 0.20202 0.061225 0.16664 0.016015
4.1231 0.26018 1.1028 0.48976 0.16814 0.035624 0.065396 0.040937
1.7799 0.33598 1.3645 0.37217 0.22362 0.078852 0.0041958 0.017443
7.7263 0.57995 1.9242 0.34993 0.25507 0.033717 0.074986 0.043284
14.107 0.84432 2.116 0.21441 0.27119 0.04887 0.04584 0.0078986
0.71706 0.48499 0.10014 3.1534 7.6333 0.22948 0.011519 0.00055887
0.021769 0.42794 0.75536 6.3572 12.991 0.00092142 0.086831 0.010636
16.166 3.3437 1.0928 2.2143 2.3861 0.17756 0.80378 0.0031805
13.667 0.27883 1.4082 1.1987 1.1067 0.022911 0.01966 0.040343
34.192 0.3813 2.089 1.7 0.18924 0.070815 0.017891 0.030792
3.2071 0.38887 1.1933 1.0047 0.16998 0.14582 0.10458 0.10809
6.8896 0.61123 0.79742 0.46173 0.64448 0.72363 0.57038 0.24336
13.548 0.35948 1.203 0.88547 0.25319 0.072397 0.44439 0.027918
9.6588 0.16419 0.89208 0.33833 0.80324 0.0506 0.12435 0.014809
6.8645 0.74493 2.5433 1.4076 2.8571 0.087034 0.034382 0.01086
15.82 0.3728 1.9767 1.5181 1.7682 0.020197 0.010661 0.0074225
18.914 0.35798 1.8873 1.6224 0.18393 0.039083 0.016801 0.00025563
25.651 1.4281 2.7323 0.6965 0.39729 0.0020778 0.42376 0.054691
