Na Mg Al Si P S Cl K Ca Fe Cu Zn Ba Pb OC EC SO4 NO3
0.248423698 0.097430732 0.105137078 0.219064533 0 1.070188443 0 0.06985049 0.149874191 0.120779085 0.004593233 0.014154939 0.015099991 0.00998559 3.35 0.89 2.407762627 0.98
0.05319871 0.094669953 0.09270952 0.279491729 0.053233843 2.88851217 0 0.070800449 0.190941981 0.112833824 0.146456308 0.187681619 0.041885816 0.023918691 3.88 0.37 6.154449153 0.55
0.541611531 0.097329973 0.051482378 0.133273378 0 3.892235528 0 0.048592212 0.061046956 0.0824425 0.002453522 0.012607222 0 0.009751711 3.89 0.5 8.827714345 2.72
0.077548939 0.004133129 0.035087337 0.040929553 0 1.095667304 0 0.022694759 0.035945285 0.031308282 0.001852078 0.045961484 0.021346556 0.003956092 1.79 0.34 2.630867834 0.36
0.291169213 0.065381132 0.027700658 0.103440586 0 2.485542741 0 0.050411407 0.11259226 0.09775588 0.006660229 0.022345805 0.002723044 0.019257817 3.75 0.8 5.472890814 2.5
0.148275704 0.080555713 0.040732974 0.045220143 0.012458829 3.050201406 0 0.030258171 0.028572816 0.052103788 0.003704937 0.009223231 0.004522725 0.005468515 2.94 0.57 7.13306617 2.94
0.209796209 0 0.110772064 0.417166141 0 1.862689979 0 0.240975254 0.222659657 0.151014785 0.001352579 0.030098376 0.042313422 0.002823684 3.79 0.89 4.334279656 0.71
0 0.047643495 0.036330819 0.116786735 0 0.999550605 6.37134e-05 0.053115771 0.163729382 0.108043836 0.002633489 0.070226369 0.013953243 0.101622937 4.89 0.77 2.145473668 0.48
0.595292368 0.057712765 0.051518827 0.244886484 0 3.162717937 0 0.163134843 0.23875511 0.137212065 0.00341327 0.051497972 0.025790696 0.023149062 5.36 0.71 5.902564074 0.66
0.52284361 0.065363409 0.055290087 0.112652846 0 5.251228402 0 0.080056029 0.158018164 0.125223276 0.002843733 0.019361434 0.008127982 0.008884896 4.21 0.6 12.3572033 1.21
0.802126635 0.013254965 0.026003327 0.137143779 0 5.2969269 0 0.10145947 0.182085744 0.130967382 0.003678079 0.018716566 0 0.011402046 3.94 0.63 12.79890302 0.84
0.829236042 0.170110729 0.036523652 0.137097233 0.013208173 2.704942344 0 0.078277851 0.13762445 0.099831315 0.000790826 0.011321291 0.014429097 0.010065683 2.94 0.63 6.085100513 0.98
0.564700032 0.12989111 0.109890009 0.31132772 0 1.549634804 0 0.240641235 0.092278118 0.132034573 0.004368841 0.060255877 0.015680044 0.038595982 2.98 0.55 3.270680458 0.67
0.162844195 0.08452275 0.139512216 0.338522692 0 2.235087112 0 0.241172493 0.139416284 0.15428571 0.005385884 0.061663577 0.051371468 0.042689642 3.3 0.66 4.446415124 0.55
0.49232958 0.402493356 0.964516161 0.062692176 0 6.410415966 5.653999474 15.23088499 0.146683616 0.134140951 0.262021144 0.109196628 1.392602477 0.118559562 5.29 0.75 1.457799601 0.36
0.114015661 0.201869792 0.153765444 0.121099781 0 1.915916045 0.009915006 1.952855656 0.111081206 0.191133139 0.041462123 0.065255375 0.167726545 0.065386563 3.25 0.88 4.244774808 1.18
0.323859779 0.078870025 0.031083408 0.064412626 0 1.625938068 0 0.109806052 0.083930115 0.061022857 0.005017981 0.013088859 0.132250112 0.008400731 3.38 0.46 3.871875375 0.4
0.282992418 0.110074447 0.029568468 0.117642065 0 1.528048139 0 0.103426456 0.102464709 0.11307903 0.003720629 0.01948767 0.014931655 0.024324487 4.59 2.97 3.048759907 0.41
0.410135117 0.059882915 0.016503442 0.055233861 0.007373878 2.239973577 0 0.05448945 0.114814798 0.111935474 0.04021924 0.041314787 0.016131237 0.02321016 5.72 0.52 8.092282105 0.76
0 0 0.002635097 0.061404698 0.005076029 5.354087492 0 0.046065659 0.062465672 0.087159306 0.001844568 0.013993753 0.065447492 0.00649066 3.12 0.48 12.61927 1.21
0.047674829 0.044590967 0.025115411 0.081958476 0 2.033334218 0 0.051390743 0.093745216 0.080159557 0.001444692 0.021079998 0.012182641 0.009550246 3.57 0.47 5.093426435 0.42
0.802214083 0.10443252 0.078224438 0.152981578 0 3.76258995 0 0.049327994 0.148528548 0.117460735 0.005045848 0.008340815 0.013586567 0.005810998 3.89 0.5 8.458829283 0.57
0.285547715 0.1176045 0.071177974 0.074310535 0 7.014816217 0 0.045281666 0.099918873 0.199542752 0.004024569 0.022201853 0.300683745 0.011357291 5.13 1.22 16.14775474 0.66
0.684515238 0.074736931 0.077829254 0.13877234 0 4.935229439 0 0.054570815 0.100531769 0.100337196 0.007623097 0.012431834 0.079281604 0.011236599 4.32 0.67 10.64786238 0.78
0.342631933 0.09272339 0.012803156 0.081896284 0.008007118 2.295174933 0 0.048028987 0.068496197 0.107138948 0.020508378 0.026841343 0.01523205 0.01843627 3.28 0.65 4.504967261 1.17
0.313346787 0.074216626 0.041366757 0.106236253 0.013961886 1.058176735 0 0.045400345 0.092288205 0.121747923 0.024194606 0.030089317 0.107391672 0.023841754 2.94 1.31 2.677059519 0.62
0.028529228 0.100440876 0.050430377 0.114244374 0.15222836 2.885493319 0 0.071229346 0.17943797 0.13825991 0.158256612 0.307875728 0.022231054 0.593310463 4.19 0.94 5.622150005 1.17
0.374510468 0.056394654 0.018060805 0.079361465 0.004557073 1.384917588 0 0.048173777 0.06598335 0.108302021 0.004550095 0.057525199 0 0.023887996 2.59 0.58 3.049500259 0.42
0 0.093857611 0.029922894 0.085916187 0.003122328 2.721244857 0 0.064734422 0.08964351 0.09403146 0.002023603 0.016133189 0.005507537 0.008727221 4.42 0.53 6.563709457 0.68
0.449567827 0.037318474 0.061492017 0.109000956 0 5.158610269 0 0.065892286 0.163606202 0.159373562 0.106765898 0.046461256 0 0.088962269 6.64 0.67 11.85094106 1.33
0 0.086510603 0.030214794 0.070941196 0.073004611 2.463273407 0 0.041164096 0.188757355 0.10123936 0.133934421 0.145279732 0.019842136 0.138102937 3.83 1.2 6.239205298 1.23
0.478332659 0.075454634 0.014342968 0.050324338 0.052959195 1.074228072 0 0.038247914 0.081949697 0.070737392 0.063208219 0.019485187 0 0.011757692 2.24 0.71 2.657126547 0.49
0.07578506 0.044364846 0.030971945 0.134101418 0.004530966 1.188740626 0.002282724 0.063916274 0.250816893 0.172411183 0.009144689 0.02828233 0.032220202 0.021289333 5.52 1.76 3.161961932 0.62
0.068938803 0.045769914 0.043072555 0.090957765 0.001625513 0.447449173 0.054522132 0.06066927 0.161252346 0.117796482 0.007403539 0.088665011 0 0.027087157 1.56 0.79 1.266538608 0.4
0.205914724 0.065931931 0.018093014 0.081683081 0.000112861 1.172688304 0 0.047655518 0.175442279 0.129366814 0.005269194 0.020604169 0.031749184 0.017020835 2.81 0.82 2.298166597 1.11
0.218649624 0.027594071 0.026073698 0.124635117 0.008340741 1.714675981 0 0.077517742 0.228368648 0.191197643 0.013271299 0.054932379 0.025036433 0.053781442 6.36 1.55 3.354633622 1.61
0.020749835 0.019186301 0.065571147 0.217623103 0.046051292 2.220176758 0 0.078308738 0.233473864 0.209499674 0.073541696 0.141128064 0 0.049775977 4.36 1.2 5.00702433 1.19
0.298462904 0.04650434 0.028650121 0.215056077 0.007764854 1.960480818 0 0.083272584 0.240413731 0.19482789 0.039912339 0.142558199 0.010640464 0.05058813 4.37 0.85 3.777479469 0.38
0 0.089806453 0.014275991 0.070180599 0.028406606 0.886557965 0.042537221 0.105071006 0.108981639 0.075886635 0.746276724 0.13411727 0 0.277596798 2.83 0.76 1.82 0.08
0.353400295 0.04420633 0.022892439 0.068927661 0 1.045820094 0 0.051160291 0.082571332 0.08362138 0.030959034 0.013421145 0.002266991 0.006230749 3.61 0.57 1.30680471 0.86
0.650967919 0 0.003792525 0.056909026 0.002756278 0.618456532 0 0.027957537 0.05635918 0.052446817 0.041710728 0.016544715 0 0.004391716 1.72 0.46 0.836172242 0.36
0.302108528 0.046830512 0.004883454 0.052690656 0 0.418710931 0.0051222 0.018853748 0.076890882 0.078048441 0.006366577 0.019201016 0.008088446 0.004073162 1.18 0.45 0.579580789 0.41
0.390122155 0.108124036 0.034825989 0.113248432 0.002316994 0.651523189 0.007867831 0.046595752 0.116816319 0.062125301 0.049481334 0.031712972 0 0.005614802 1.93 0.68 1.42197168 0.38
0.229540892 0.071237558 0.068847462 0.140437541 0 0.933773224 0.037642253 0.095512193 0.182789482 0.183501576 0.086262027 0.076976609 0.016089084 0.040060551 4.65 1.76 1.716341393 1.25
0.058648009 0.019129131 0.042355267 0.150761003 0.009124815 2.035017024 0 0.135545649 0.175907382 0.173554719 0.168307034 0.060187135 0.01922441 0.071459396 6.67 1.66 4.021630481 1.39
0.431029018 0.032890681 0.065200572 0.127421139 0.014236265 2.889643705 0 0.113980003 0.132551449 0.09629357 0.130166062 0.030131929 0.001825339 0.012162015 4.15 0.62 6.00508767 1.35
0 0.031227246 0.030191271 0.061883649 0.017118253 1.563864148 0.033489477 0.06688029 0.06793036 0.070326493 0.102998466 0.064237497 0 0.030163081 2.29 0.7 2.942305127 0.39
0.373942069 0.020001569 0.034434834 0.0777 0.008553302 0.872533804 0 0.037793823 0.062754229 0.045862323 0.00894807 0.007306667 0.003442098 0.002597157 1.9 0.58 1.389121074 0.41
0.103057191 0 0.029515086 0.069149228 0 0.448515619 0 0.026897604 0.058903858 0.042188468 0.003136767 0.004624451 0 0.001922761 0.88 0.32 0.849179322 0.11
0.640863376 0 0.019654661 0.073154801 0 0.726022077 0.240919649 0.053679508 0.108055795 0.085979657 0.002656035 0.014101133 0 0.009044318 3.55 1.12 1.402204317 1.47
0.17037364 0 0 0.088224532 0 0.839276504 0.00769416 0.134120852 0.150225548 0.097282563 0.003134148 0.028971922 0 0.029027028 4.17 1.01 1.373480572 1.99
