palmitic palmitoleic stearic oleic linoleic eicosanoic linolenic eicosenoic
1315 139 230 7299 832 42 60 32
1321 136 217 7174 NA 43 63 NA
1359 115 246 7234 874 45 63 18
1378 111 272 7127 940 46 64 23
1295 109 245 NA NA 43 62 38
1275 121 NA 7285 NA 40 NA 41
1336 120 NA 7083 915 50 70 38
1309 122 241 7257 870 46 72 35
1340 114 189 7337 820 48 72 21
1299 116 253 7309 823 40 69 27
1221 NA 221 7441 NA 54 70 28
1245 72 283 7395 829 44 67 28
1285 129 244 7323 819 57 65 36
1248 107 313 7299 840 46 66 33
1356 106 236 NA 866 48 75 36
1260 102 228 7354 870 49 64 28
1261 121 312 7238 877 47 65 25
1304 124 279 7160 928 48 61 37
1344 117 NA 7129 897 51 65 41
1323 96 300 7351 757 47 54 26
1292 117 215 7351 839 48 61 32
1254 118 244 7394 786 46 NA 24
NA 131 259 7167 939 41 69 20
1213 109 301 7261 925 47 NA 31
NA 98 351 7262 780 41 56 16
1266 97 263 7435 743 NA 69 29
1298 99 NA 7311 787 45 67 23
1272 116 279 7258 872 NA 72 27
1278 87 332 7379 771 44 53 24
1184 112 311 7391 819 48 57 28
1382 110 268 7241 828 39 60 30
1183 146 292 7580 618 38 51 23
1261 153 219 7355 818 52 70 26
1198 NA 239 7639 633 27 55 19
1225 134 232 7658 616 36 49 26
1339 166 208 7190 923 40 69 25
1132 157 240 7641 638 45 NA 31
1381 183 NA 7385 609 47 70 25
1409 128 257 7257 759 43 57 16
1306 127 250 NA 869 47 68 24
1372 120 250 7355 702 NA 68 28
1336 113 242 7293 855 38 60 NA
1401 NA 238 7164 857 45 72 36
NA 119 NA NA 823 40 62 41
1432 152 NA 7029 949 39 55 25
1412 124 298 7182 790 45 68 28
NA 147 291 7197 783 51 70 34
1383 118 273 7282 NA 45 68 29
1283 102 263 7400 763 54 65 28
1296 136 260 7380 NA 48 51 18
1287 108 287 7343 NA 44 44 23
1351 159 296 7229 810 36 60 22
1241 97 268 7499 709 NA 69 36
1267 101 300 7230 898 74 65 34
1235 138 252 7322 861 54 66 36
1255 103 223 NA 848 47 56 NA
