"Id","Model","Price","Age_08_04","Mfg_Year","Miles","Fuel_Type","HP","Color","Automatic","cc","Doors","Cylinders","Weight","Mfr_Guarantee","ABS","Airbag_1","Airbag_2","Airco","Automatic_airco","Boardcomputer","CD_Player","Powered_Windows","Power_Steering","Radio"
1,"TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors",18495,23,2002,29192,"Diesel",90,"Blue",0,2000,3,4,1165,0,1,1,1,0,0,1,0,1,1,0
2,"TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors",18837.5,23,2002,45316,"Diesel",90,"Silver",0,2000,3,4,1165,0,1,1,1,1,0,1,1,0,1,0
3,"ÊTOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors",19111.5,24,2002,25915,"Diesel",90,"Blue",0,2000,3,4,1165,1,1,1,1,0,0,1,0,0,1,0
4,"TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors",20481.5,26,2002,29822,"Diesel",90,"Black",0,2000,3,4,1165,1,1,1,1,0,0,1,0,0,1,0
5,"TOYOTA Corolla 2.0 D4D HATCHB SOL 2/3-Doors",18837.5,30,2002,23920,"Diesel",90,"Black",0,2000,3,4,1170,1,1,1,1,1,0,1,0,1,1,0
6,"TOYOTA Corolla 2.0 D4D HATCHB SOL 2/3-Doors",17741.5,32,2002,37899,"Diesel",90,"White",0,2000,3,4,1170,0,1,1,1,1,0,1,0,1,1,0
7,"ÊTOYOTA Corolla 2.0 D4D 90 3DR TERRA 2/3-Doors",23153,27,2002,58782,"Diesel",90,"Grey",0,2000,3,4,1245,0,1,1,1,1,0,1,0,1,1,0
8,"TOYOTA Corolla 2.0 D4D 90 3DR TERRA 2/3-Doors",25482,30,2002,47150,"Diesel",90,"Grey",0,2000,3,4,1245,1,1,1,1,1,0,1,1,1,1,0
9,"ÊTOYOTA Corolla 1800 T SPORT VVT I 2/3-Doors",29455,27,2002,12240,"Petrol",192,"Red",0,1800,3,4,1185,0,1,1,0,1,0,0,0,1,1,1
10,"ÊTOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors",17741.5,23,2002,44198,"Diesel",69,"Blue",0,1900,3,4,1105,0,1,1,1,1,0,1,0,0,1,0
11,"TOYOTA Corolla 1.8 VVTL-i T-Sport 3-Drs 2/3-Doors",28701.5,25,2002,19547,"Petrol",192,"Silver",0,1800,3,4,1185,1,1,1,1,1,1,0,1,1,1,0
12,"TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT BNS 2/3-Doors",27331.5,22,2002,27095,"Petrol",192,"Red",0,1800,3,4,1185,1,1,1,1,1,1,1,0,1,1,0
13,"TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors",26852,25,2002,19999,"Petrol",192,"Red",0,1800,3,4,1185,1,1,1,1,1,1,1,0,1,1,0
14,"TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors",29455,31,2002,14290,"Petrol",192,"Black",0,1800,3,4,1185,1,1,1,1,1,1,1,1,1,1,0
15,"TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors",30825,32,2002,21206,"Petrol",192,"Grey",0,1800,3,4,1185,1,1,1,1,1,1,1,1,1,1,0
16,"TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors",30140,28,2002,11643,"Petrol",192,"Grey",0,1800,3,4,1185,0,1,1,1,1,1,1,0,1,1,0
17,"ÊTOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors",31167.5,30,2002,21124,"Petrol",192,"Grey",0,1800,3,4,1185,0,1,1,1,1,1,1,1,1,1,0
18,"ÊTOYOTA Corolla 1.6 VVTI Linea Terra Comfort 2/3-Doors",24591.5,24,2002,13492,"Petrol",110,"Blue",0,1600,3,4,1105,0,1,1,0,1,0,0,0,1,1,1
19,"TOYOTA Corolla 1.6 16v L.SOL 2/3-Doors",22947.5,24,2002,15882,"Petrol",110,"Grey",0,1600,3,4,1065,0,1,1,1,1,1,1,1,1,1,0
20,"TOYOTA Corolla 1.6 16V VVT I 3DR TERRA 2/3-Doors",23221.5,30,2002,39986,"Petrol",110,"Grey",0,1600,3,4,1105,1,1,1,1,1,0,1,1,1,1,0
21,"ÊTOYOTA Corolla 1.6 16V VVT I 3DR TERRA 2/3-Doors",21851.5,30,2002,42037,"Petrol",110,"Blue",0,1600,3,4,1105,1,1,1,1,1,0,1,1,1,1,0
22,"TOYOTA Corolla 1.6 16V VVT I 3DR SOL AUT4 2/3-Doors",23221.5,29,2002,27278,"Petrol",110,"Grey",1,1600,3,4,1170,0,1,1,1,1,1,1,0,1,1,0
23,"TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors",21851.5,28,2002,35010,"Petrol",110,"Black",0,1600,3,4,1120,0,1,1,1,1,1,1,1,1,1,0
24,"ÊTOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors",23221.5,28,2002,20018,"Petrol",110,"Black",0,1600,3,4,1120,1,1,1,1,1,1,1,1,1,1,0
25,"TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors",22262.5,29,2002,16038,"Petrol",110,"Grey",0,1600,3,4,1120,1,1,1,1,1,1,1,1,1,1,0
26,"TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors",21851.5,25,2002,17676,"Petrol",110,"Blue",0,1600,3,4,1120,0,1,1,1,1,1,1,1,1,1,0
27,"ÊTOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors",23968.15,27,2002,21463,"Petrol",110,"Blue",0,1600,3,4,1120,1,1,1,1,1,1,1,1,1,1,0
28,"TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors",21577.5,29,2002,25731,"Petrol",110,"Black",0,1600,3,4,1120,1,1,1,1,1,1,1,1,1,1,0
29,"TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors",23221.5,28,2002,27425,"Petrol",110,"Grey",0,1600,3,4,1120,1,1,1,1,1,1,1,0,1,1,0
30,"TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors",24591.5,30,2002,6890,"Petrol",110,"Blue",0,1600,3,4,1120,1,1,1,1,1,1,1,1,1,1,0
31,"ÊTOYOTA Corolla 1.4 VVTI Linea Terra 2/3-Doors",17741.5,29,2002,6058,"Petrol",97,"Silver",0,1400,3,4,1100,1,1,1,0,0,0,0,0,0,1,1
32,"TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors",21577.5,22,2002,21869,"Petrol",97,"Blue",0,1400,3,4,1100,1,1,1,1,1,0,1,1,1,1,0
33,"TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors",21851.5,27,2002,18335,"Petrol",97,"Black",0,1400,3,4,1100,1,1,1,1,1,0,1,0,1,1,0
34,"ÊTOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors",20481.5,26,2002,20312,"Petrol",97,"Grey",0,1400,3,4,1100,0,1,1,1,1,0,1,0,1,1,0
35,"ÊTOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors",21235,22,2002,25473,"Petrol",97,"Grey",0,1400,3,4,1100,0,1,1,1,1,0,1,1,1,1,0
36,"TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors",21577.5,26,2002,26716,"Petrol",97,"Grey",0,1400,3,4,1100,1,1,1,1,1,0,1,1,1,1,0
37,"TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors",21851.5,25,2002,15532,"Petrol",97,"Grey",0,1400,3,4,1100,0,1,1,1,1,0,1,1,1,1,0
38,"TOYOTA Corolla 1.4 16V VVT I 3DR TERRA 2/3-Doors",20481.5,23,2002,6213,"Petrol",97,"Blue",0,1400,3,4,1100,1,1,1,1,0,0,1,0,1,1,0
