"","CWSI","SWC"
"1",0.02,28.77
"2",0.044,28.34
"3",0.056,28.16
"4",0.05,27.61
"5",0.077,27.23
"6",0.09,26.39
"7",0.095,26.67
"8",0.104,27.69
"9",0.116,27
"10",0.144,25.28
"11",0.137,26.6
"12",0.182,26.31
"13",0.188,26.39
"14",0.207,26.48
"15",0.285,24.49
"16",0.323,24.21
"17",0.31,25.8
"18",0.338,24.96
"19",0.346,25.82
"20",0.337,23.81
"21",0.372,24.36
"22",0.373,24.14
"23",0.416,24.11
"24",0.399,23.28
"25",0.443,25
"26",0.47,22.87
"27",0.502,23.96
"28",0.474,24
"29",0.499,23.08
"30",0.523,24.08
"31",0.548,23.91
"32",0.567,22.86
"33",0.635,22.61
"34",0.678,22.53
"35",0.673,23.04
"36",0.693,23.17
"37",0.766,24.04
"38",0.777,22.18
"39",0.846,22.45
"40",0.821,22.24
"41",0.85,22.83
"42",0.93,23.07
"43",0.972,22.6
"44",0.974,22.23
