"Fatal","Year","DOW","Hour","Mod_year","Height","Weight","DWI","Age","Car.Type","Day","Drugs","Drink","Light","Month","Belt","Route","Sex","Speed.Related","Speed.Limit","Road.Conditions","Road.Type","Distracted"
1,2012,1,2,2005,70,170,0,24,"Standard Truck",1,"No (drugs not involved)","Yes","Dark - Lighted","January","None Used-Motor Vehicle Occupant","State Highway","Male","No",35,"Dry","Two-Way, Not Divided With a Continuous Left-Turn Lane","Unknown"
1,2012,1,19,2010,66,150,0,37,"4-Door Sedan",1,"Unknown","No","Dark - Lighted","January","Shoulder and Lap Belt Used","Local Street - Municipality","Male","Yes",25,"Dry","Two-Way, Not Divided","Not Distracted"
1,2012,1,19,2010,65,175,0,63,"4-Door Sedan",1,"Unknown","No","Dark - Not Lighted","January","None Used-Motor Vehicle Occupant","Local Street - Municipality","Male","No",45,"Dry","Two-Way, Not Divided","Unknown"
0,2012,1,17,2011,74,220,0,30,"2-Door Sedan",1,"No (drugs not involved)","No","Dark - Lighted","January","Shoulder and Lap Belt Used","Local Street - Municipality","Male","No",35,"Dry","Two-Way,  Divided, Positive  Median Barrier","Not Distracted"
0,2012,1,18,1987,75,185,0,39,"Standard Truck",1,"No (drugs not involved)","No","Dark - Not Lighted","January","Shoulder and Lap Belt Used","Local Street - Municipality","Male","No",40,"Dry","Two-Way, Not Divided With a Continuous Left-Turn Lane","Not Distracted"
1,2012,1,99,1991,71,140,0,29,"4-Door Sedan",1,"Unknown","Yes","Unknown","January","Shoulder and Lap Belt Used","Local Street - Municipality","Male","Yes",45,"Dry","Two-Way, Not Divided","Not Distracted"
1,2012,4,6,2008,68,160,0,74,"2-Door Sedan",4,"Unknown","No","Dawn","January","Shoulder and Lap Belt Used","State Highway","Male","Unknown",55,"Dry","Two-Way, Not Divided","Unknown"
1,2012,4,7,1987,64,135,0,54,"4-Door Sedan",4,"Unknown","Yes","Dawn","January","Shoulder and Lap Belt Used","U.S. Highway","Female","No",50,"Dry","Two-Way,  Divided, Unprotected (Painted > 4 Feet ) Median","Unknown"
1,2012,5,4,2007,70,160,0,26,"4-Door Sedan",5,"Unknown","Yes","Dark - Not Lighted","January","None Used-Motor Vehicle Occupant","Interstate","Male","No",70,"Dry","Two-Way,  Divided, Positive  Median Barrier","Unknown"
1,2012,5,4,2007,69,145,0,37,"4-Door Sedan",5,"Yes (drugs involved)","No","Dark - Not Lighted","January","Shoulder and Lap Belt Used","State Highway","Female","Unknown",55,"Other","Two-Way, Not Divided","Not Distracted"
1,2012,5,12,2002,64,168,0,86,"4-Door Sedan",5,"No (drugs not involved)","No","Daylight","January","Shoulder and Lap Belt Used","County Road","Female","No",35,"Dry","Two-Way, Not Divided","Not Distracted"
1,2012,5,17,2006,68,160,0,70,"2-Door Sedan",5,"Unknown","No","Dark - Not Lighted","January","Shoulder and Lap Belt Used","State Highway","Male","No",55,"Dry","Two-Way, Not Divided","Unknown"
1,2012,7,6,2000,66,170,0,68,"2-Door Sedan",7,"Unknown","No","Dark - Not Lighted","January","Shoulder and Lap Belt Used","County Road","Male","No",55,"Dry","Two-Way, Not Divided","Not Distracted"
1,2012,7,99,1996,65,200,0,44,"Minivan",7,"Unknown","Yes","Daylight","January","None Used-Motor Vehicle Occupant","County Road","Male","Unknown",55,"Dry","Two-Way, Not Divided","Unknown"
1,2012,1,15,2007,65,130,0,52,"Motorcycle",8,"Unknown","No","Daylight","January","Other Helmet","County Road","Female","No",55,"Dry","Two-Way, Not Divided","Unknown"
1,2012,1,16,1991,70,160,0,26,"2-Door Sedan",8,"Unknown","No","Daylight","January","Shoulder Belt Only Used","State Highway","Male","Yes",40,"Dry","Two-Way, Not Divided","Not Distracted"
1,2012,1,16,1995,70,175,0,55,"Convertible",8,"Unknown","No","Daylight","January","Shoulder and Lap Belt Used","State Highway","Male","Yes",65,"Dry","Two-Way,  Divided, Unprotected (Painted > 4 Feet ) Median","Unknown"
0,2012,1,19,2003,66,130,0,18,"4-Door Sedan",8,"No (drugs not involved)","No","Dark - Not Lighted","January","Shoulder and Lap Belt Used","County Road","Male","Yes",60,"Dry","Two-Way,  Divided, Positive  Median Barrier","Not Distracted"
1,2012,1,99,2002,71,160,0,35,"4-Door Sedan",8,"Unknown","Yes","Dark - Not Lighted","January","Shoulder and Lap Belt Used","County Road","Male","Yes",55,"Dry","Two-Way, Not Divided","Unknown"
0,2012,7,18,2011,69,220,0,53,"Motorcycle",7,"No (drugs not involved)","No","Dark - Not Lighted","January","Other Helmet","Local Street - Municipality","Male","No",55,"Dry","Two-Way,  Divided, Unprotected (Painted > 4 Feet ) Median","Not Distracted"
1,2012,1,3,1997,70,200,0,28,"4-Door Sedan",8,"No (drugs not involved)","Yes","Dark - Not Lighted","January","Shoulder and Lap Belt Used","Interstate","Male","Yes",65,"Dry","Two-Way,  Divided, Positive  Median Barrier","Not Distracted"
1,2012,3,19,1989,64,160,0,55,"Jeep",10,"Yes (drugs involved)","No","Dark - Not Lighted","January","Shoulder and Lap Belt Used","State Highway","Male","No",55,"Dry","Two-Way, Not Divided","Not Distracted"
1,2012,3,12,1995,70,185,0,58,"4-Door Sedan",17,"Unknown","No","Daylight","January","Shoulder and Lap Belt Used","Interstate","Male","No",65,"Dry","Two-Way,  Divided, Positive  Median Barrier","Not Distracted"
1,2012,3,17,1991,69,203,0,21,"2-Door Sedan",17,"Unknown","No","Dark - Not Lighted","January","Shoulder and Lap Belt Used","Local Street - Municipality","Female","No",55,"Dry","Two-Way, Not Divided","Not Distracted"
1,2012,4,14,1996,63,130,0,36,"4-Door Sedan",18,"No (drugs not involved)","Yes","Daylight","January","None Used-Motor Vehicle Occupant","County Road","Female","No",55,"Dry","Two-Way, Not Divided","Not Distracted"
1,2012,3,17,1995,69,200,1,54,"2-Door Sedan",10,"No (drugs not involved)","Yes","Dark - Not Lighted","January","None Used-Motor Vehicle Occupant","State Highway","Male","Yes",55,"Dry","Two-Way, Not Divided","Not Distracted"
1,2012,5,5,1990,68,160,0,19,"Convertible",12,"Unknown","No","Dark - Not Lighted","January","Shoulder and Lap Belt Used","State Highway","Male","No",55,"Dry","Two-Way, Not Divided","Not Distracted"
1,2012,5,14,2002,73,205,0,48,"Truck-Tractor",12,"Yes (drugs involved)","No","Daylight","January","Unknown","U.S. Highway","Male","Yes",55,"Dry","Two-Way,  Divided, Positive  Median Barrier","Not Distracted"
1,2012,5,22,2008,74,225,0,32,"Station Wagon",12,"Unknown","Yes","Dark - Lighted","January","Shoulder and Lap Belt Used","State Highway","Male","Yes",65,"Dry","Two-Way,  Divided, Unprotected (Painted > 4 Feet ) Median","Not Distracted"
1,2012,6,6,1999,72,175,0,21,"4-Door Sedan",13,"Unknown","No","Dawn","January","Shoulder and Lap Belt Used","State Highway","Male","No",55,"Dry","Two-Way, Not Divided","Not Distracted"
0,2012,2,18,2003,73,230,0,30,"Small Truck",9,"No (drugs not involved)","No","Dark - Not Lighted","January","Shoulder and Lap Belt Used","State Highway","Male","No",55,"Dry","Two-Way, Not Divided","Not Distracted"
1,2012,3,11,2006,69,190,0,80,"Minivan",10,"Unknown","No","Daylight","January","Shoulder and Lap Belt Used","Local Street - Municipality","Male","No",45,"Dry","Two-Way, Not Divided","Unknown"
0,2012,3,17,2005,76,230,0,52,"Standard Truck",10,"No (drugs not involved)","Yes","Dark - Lighted","January","Shoulder and Lap Belt Used","Local Street - Municipality","Male","No",45,"Dry","Two-Way, Not Divided With a Continuous Left-Turn Lane","Not Distracted"
0,2012,6,11,1995,70,150,0,51,"Other",20,"No (drugs not involved)","No","Daylight","January","Shoulder and Lap Belt Used","State Highway","Male","No",55,"Dry","Two-Way, Not Divided","Distracted"
1,2012,4,5,1989,70,195,0,63,"Minivan",25,"Unknown","No","Dark - Lighted","January","Shoulder and Lap Belt Used","Interstate","Male","No",65,"Dry","Two-Way,  Divided, Positive  Median Barrier","Unknown"
1,2012,5,15,2000,73,180,0,19,"Jeep",5,"Unknown","No","Daylight","January","Shoulder and Lap Belt Used","State Highway","Male","No",65,"Dry","Two-Way,  Divided, Positive  Median Barrier","Unknown"
1,2012,7,14,1996,69,170,0,19,"4-Door Sedan",7,"No (drugs not involved)","No","Daylight","January","Shoulder and Lap Belt Used","Interstate","Male","No",70,"Dry","Two-Way,  Divided, Unprotected (Painted > 4 Feet ) Median","Not Distracted"
1,2012,1,13,2007,69,180,0,32,"Motorcycle",8,"No (drugs not involved)","No","Daylight","January","Other Helmet","State Highway","Male","Yes",25,"Dry","Two-Way, Not Divided","Unknown"
