Number,Year,Month,Day,Date,Time,State,Fscale,Injuries,Fatalities,Loss,CropLoss,StartLat,StartLon,EndLat,EndLon,Length,Width
361884,2012,1,9,1/9/12,8:45:00,TX,0,0,0,0.005,0,29.666,-95.8121,29.6659,-95.8101,0.12,20
361888,2012,1,9,1/9/12,9:05:00,TX,1,0,0,0.5,0,29.6756,-95.6565,29.6814,-95.6511,0.52,50
361892,2012,1,9,1/9/12,11:15:00,TX,0,0,0,0.015,0,29.3492,-95.5771,29.3499,-95.5768,0.05,50
361893,2012,1,9,1/9/12,11:32:00,TX,0,0,0,0.02,0,29.2654,-95.44,29.2669,-95.4398,0.1,50
361894,2012,1,9,1/9/12,11:34:00,TX,0,0,0,0.01,0,29.2827,-95.4356,29.2864,-95.4338,0.28,50
361900,2012,1,9,1/9/12,12:56:00,TX,0,0,0,0.05,0,29.407,-95.0294,29.4066,-95.02,0.57,50
360514,2012,1,11,1/11/12,16:21:00,NC,2,10,0,0,0,35.351,-81.794,35.398,-81.759,3.8,200
360515,2012,1,11,1/11/12,17:03:00,NC,2,8,0,13.4,0,35.659,-81.485,35.71,-81.446,4.15,300
360518,2012,1,11,1/11/12,17:17:00,NC,0,0,0,0,0,35.7587,-81.3777,35.7602,-81.3767,0.12,75
354258,2012,1,17,1/17/12,8:44:00,IN,0,0,0,0.004,0,38.2794,-86.9999,38.2799,-86.9981,0.1,25
354257,2012,1,17,1/17/12,8:54:00,IN,1,0,0,0.02,0,38.3302,-86.9226,38.3631,-86.7665,8.76,100
354103,2012,1,17,1/17/12,9:40:00,IN,0,0,0,0.04,0,38.7601,-85.4625,38.7607,-85.4572,0.29,60
354105,2012,1,17,1/17/12,10:00:00,IN,1,0,0,0.01,0,38.3075,-85.8888,38.315,-85.8507,2.13,50
354102,2012,1,17,1/17/12,10:06:00,IN,0,0,0,0.02,0,38.3306,-85.758,38.336,-85.7246,1.85,30
354106,2012,1,17,1/17/12,10:12:00,KY,1,1,0,0.3,0,38.2839,-85.6328,38.3325,-85.5005,7.92,250
354251,2012,1,17,1/17/12,10:20:00,KY,1,0,0,0.05,0,38.1721,-85.6041,38.1769,-85.5968,0.5,90
354254,2012,1,17,1/17/12,11:12:00,KY,1,0,0,0.03,0,38.1973,-84.6631,38.1982,-84.6545,0.45,75
354252,2012,1,17,1/17/12,12:20:00,KY,2,0,0,0.085,0,36.7019,-86.4652,36.704,-86.3168,8.22,150
355191,2012,1,17,1/17/12,13:27:00,TN,0,0,0,0.25,0,36.0371,-86.4742,36.0432,-86.444,1.69,125
356848,2012,1,17,1/17/12,16:02:00,MS,2,2,0,0.25,0,31.079,-89.7422,31.0972,-89.6998,2.81,440
361323,2012,1,21,1/21/12,11:10:00,GA,1,0,0,0.01,0,33.3142,-84.7583,33.3096,-84.7412,1.04,200
361320,2012,1,21,1/21/12,14:45:00,GA,1,0,0,0.3,0,32.3404,-84.0641,32.2923,-83.9356,8.21,200
361028,2012,1,21,1/21/12,15:15:00,GA,0,0,0,0.025,0,32.2264,-83.7964,32.164,-83.6335,10.45,30
355489,2012,1,22,1/22/12,19:13:00,AR,2,0,0,4.125,0,33.7634,-92.5452,33.9163,-92.2574,19.64,550
355504,2012,1,22,1/22/12,19:29:00,AR,1,0,0,0.1,0,34.5156,-91.9074,34.5224,-91.8968,0.76,50
355499,2012,1,22,1/22/12,20:05:00,AR,1,0,0,0.175,0,34.1347,-91.8409,34.1615,-91.7833,3.78,400
355495,2012,1,22,1/22/12,20:15:00,AR,2,0,0,0.825,0,34.1925,-91.7274,34.3193,-91.4728,16.98,300
355500,2012,1,22,1/22/12,20:36:00,AR,2,0,0,1,0,34.329,-91.4269,34.4403,-91.2127,14.43,400
355501,2012,1,22,1/22/12,20:45:00,AR,1,0,0,0.25,0,34.2073,-91.4365,34.2713,-91.2915,9.39,75
355502,2012,1,22,1/22/12,21:03:00,AR,1,0,0,0.325,0,34.4847,-91.1255,34.5702,-91.0197,8.43,250
